author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
А101;developer;https://www.cian.ru/sale/flat/306741116/;Москва;sale;flat;13;30;4;83.9;21855122;2025;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;40,4 м²;23 м²;+74951374502;Южное Бутово;к2.4;к2.4;Бунинская аллея;Южные Сады ЖК
А101;developer;https://www.cian.ru/sale/flat/308314434/;Москва;sale;flat;15;18;4;92.6;21771093;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;39,9 м²;26,2 м²;+74951379021;;;18.2.6;Бунинская аллея;Скандинавия ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304056361/;Москва;sale;flat;15;20;4;104.0;21785224;2024;-1;Панельный, монолитный;-1;Без отделки, чистовая;66,4 м²;-1;+74951475836;;;к2;Новопеределкино;Город-парк Первый Московский
А101;developer;https://www.cian.ru/sale/flat/306737782/;Москва;sale;flat;9;17;4;97.7;22071661;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;54,9 м²;25,8 м²;+74951379021;;;25.7;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/308314652/;Москва;sale;flat;2;18;4;81.7;22032081;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;-1;-1;+74951379021;;;18.2.3;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/306746961/;Москва;sale;flat;19;20;4;96.5;21925090;2025;-1;-1;-1;Без отделки;59,9 м²;22,1 м²;+74951344536;;;6.1;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306741280/;Москва;sale;flat;10;30;4;81.2;23200920;2025;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;40,7 м²;20,1 м²;+74951374502;Южное Бутово;к2.1;к2.1;Бунинская аллея;Южные Сады ЖК
