author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Optima Development;developer;https://www.cian.ru/sale/flat/305654483/;Москва;sale;flat;15;41;5;251.7;187318000;2026;-1;Монолитный;-1;Предчистовая, чистовая;-1;-1;+74951387248;Хорошевский;Ленинградский проспект;37/1;ЦСКА;Прайм Парк
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308811604/;Москва;sale;flat;6;6;5;283.0;566000000;2002;-1;-1;-1;-1;210 м²;30 м²;+79858607760;Басманный;Казарменный переулок;3С6;Курская;
Veles Realty;real_estate_agent;https://www.cian.ru/sale/flat/301164109/;Москва;sale;flat;3;8;5;123.0;66500000;1940;-1;-1;-1;-1;90 м²;12 м²;+79647820568;Тверской;1-я Тверская-Ямская ;11;Маяковская;
INGRAD;developer;https://www.cian.ru/sale/flat/304076742/;Москва;sale;flat;8;19;5;204.82;105927291;2024;-1;Монолитный;-1;Без отделки, предчистовая;-1;12,6 м²;+74951370061;Даниловский;Г мкр;4;Пролетарская;Форивер ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/179176213/;Москва;sale;flat;2;5;5;164.0;170000000;2000;-1;-1;-1;-1;123 м²;25 м²;+79163943419;Хамовники;Староконюшенный переулок;15;Кропоткинская;
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/295411365/;Москва;sale;flat;3;5;5;245.9;285000000;1910;-1;-1;-1;-1;168 м²;18 м²;+79660587093;Хамовники; Пречистенка;27;Парк Культуры;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/306653910/;Москва;sale;flat;8;11;5;220.0;220000000;2017;-1;-1;-1;-1;173 м²;25 м²;+79104917094;Аэропорт;Ленинградский проспект;36с31;Динамо;ВТБ Арена парк
