author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/308399409/;Москва;sale;flat;1;3;5;229.0;139900000;-1;-1;-1;-1;-1;170 м²;20 м²;+79104215977;Хорошево-Мневники;Таманская ;3с21;Народное Ополчение;Берег столицы
Est-a-Tet – Вторичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306157017/;Москва;sale;flat;5;17;5;221.62;140000000;2005;-1;-1;-1;-1;117,9 м²;17,5 м²;+79660640353;Раменки;Мосфильмовская ;70к7;Минская;Воробьевы Горы
Правовой Центр Недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/301035442/;Москва;sale;flat;4;14;5;198.0;140000000;-1;-1;-1;-1;-1;151 м²;30 м²;+79175919647;Тверской; Чаянова;24;Новослободская;
