author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VIСTORY GROUP;real_estate_agent;https://www.cian.ru/sale/flat/302277591/;Москва;sale;flat;7;7;5;213.0;228990000;2017;-1;-1;-1;-1;150 м²;20 м²;+79853190679;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/307719502/;Москва;sale;flat;12;18;5;214.0;231400000;2021;-1;-1;-1;-1;160 м²;30 м²;+79859622661;Пресненский;Средний Тишинский переулок;5;Белорусская;Дом на Тишинке
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/307391802/;Москва;sale;flat;9;10;5;289.0;230000000;2011;-1;-1;-1;-1;-1;-1;+79154376160;Замоскворечье;Большая Татарская ;7к1;Новокузнецкая;Четыре солнца
Капиталъ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/281252924/;Москва;sale;flat;9;10;5;290.0;230000000;2011;-1;-1;-1;-1;-1;-1;+79645636036;Замоскворечье;Большая Татарская ;7к1;Новокузнецкая;Четыре солнца
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/209040915/;Москва;sale;flat;29;31;5;275.5;238261105;2008;-1;-1;-1;-1;-1;-1;+79160186559;Очаково-Матвеевское;Нежинская ;1к2;Пионерская;Кутузовская Ривьера
WELHOME;real_estate_agent;https://www.cian.ru/sale/flat/288687215/;Москва;sale;flat;3;6;5;206.3;240680000;2019;-1;-1;-1;-1;-1;36 м²;+79153132774;Раменки;Минская ;2Вк3;Минская;Снегири Эко
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/293908785/;Москва;sale;flat;7;14;5;202.0;250000000;2013;-1;-1;-1;-1;-1;15 м²;+79660583592;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
