author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/303212367/;Москва;sale;flat;3;7;5;280.0;195000000;2007;-1;-1;-1;-1;-1;60 м²;+79099066559;Басманный;Подсосенский переулок;3к1;Курская;Резиденция Чистые Пруды
KINS Group;real_estate_agent;https://www.cian.ru/sale/flat/301987457/;Москва;sale;flat;2;8;5;100.3;29700000;1940;-1;-1;-1;-1;84,3 м²;6 м²;+79623612864;Лефортово;Авиамоторная ;51;Авиамоторная;
INGRAD;developer;https://www.cian.ru/sale/flat/304078855/;Москва;sale;flat;1;6;5;202.78;97787564;2023;-1;Монолитный;-1;Без отделки, чистовая;-1;6 м²;+74951387001;Даниловский; Виктора Маслова;2;Автозаводская;RiverSky
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307265939/;Москва;sale;flat;8;9;5;190.68;295554000;2021;-1;-1;-1;-1;94 м²;11 м²;+79645664024;Раменки;Мосфильмовская ;1к7;Ломоносовский проспект;Вишневый сад
TROIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/302742778/;Москва;sale;flat;2;5;5;174.1;165000000;1917;-1;-1;-1;-1;-1;20 м²;+79858957217;Мещанский;переулок Печатников;3С1;Трубная;
Level Group;developer;https://www.cian.ru/sale/flat/308683272/;Москва;sale;flat;6;9;5;114.4;52284050;2025;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;60,2 м²;23,1 м²;+74951387045;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Центральный Департамент Недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/308101972/;Москва;sale;flat;2;8;5;97.3;55000000;1912;-1;-1;-1;-1;68 м²;12 м²;+79651872030;Замоскворечье;Климентовский переулок;6;Новокузнецкая;
