author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ANT Development;developer;https://www.cian.ru/sale/flat/303519424/;Москва;sale;flat;2;10;4;136.1;152135071;2024;-1;Монолитный;-1;Чистовая;-1;-1;+74951346248;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/297733877/;Москва;sale;flat;80;85;4;294.6;412440000;-1;-1;-1;-1;-1;-1;-1;+79197672046;Пресненский;Московский международный деловой центр Москва-Сити тер.;;Деловой центр;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/301911033/;Москва;sale;flat;18;20;4;127.0;74295000;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;84 м²;6,4 м²;+74951387097;Басманный;;;Бауманская;Дом 56 ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/288460497/;Москва;sale;flat;6;6;4;324.5;250000000;-1;-1;-1;-1;-1;-1;-1;+79197672046;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Главстрой;developer;https://www.cian.ru/sale/flat/296921048/;Москва;sale;flat;2;13;4;125.7;61745725;2024;-1;Монолитно-кирпичный;-1;Без отделки;56,6 м²;36,2 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679511/;Москва;sale;flat;11;20;4;90.71;32501393;2024;-1;-1;-1;-1;48,1 м²;8,2 м²;+79652908569;Даниловский;Автозаводская ;26;Тульская;FORST
VESPER;developer;https://www.cian.ru/sale/flat/306541543/;Москва;sale;flat;18;21;4;234.3;344593211;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;27,1 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/309026596/;Москва;sale;flat;6;8;4;180.0;600000000;-1;-1;-1;-1;-1;98,6 м²;29,8 м²;+79660638468;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
MR Group;developer;https://www.cian.ru/sale/flat/300289409/;Москва;sale;flat;53;54;4;116.85;62364598;2025;-1;Монолитный;-1;Предчистовая, чистовая;52,4 м²;-1;+74951374843;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308015928/;Москва;sale;flat;28;37;4;177.3;215000000;2024;-1;-1;-1;-1;-1;20 м²;+79660272578;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
MR Group;developer;https://www.cian.ru/sale/flat/306611693/;Москва;sale;flat;2;59;4;94.9;;2028;-1;Монолитно-кирпичный;-1;Предчистовая;54,6 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/293126875/;Москва;sale;flat;21;23;4;244.1;78000000;2007;-1;-1;-1;-1;-1;-1;+79197672046;Хорошевский; Гризодубовой;2;ЦСКА;Гранд-парк
Sminex;developer;https://www.cian.ru/sale/flat/303408628/;Москва;sale;flat;5;14;4;198.4;557450000;2024;-1;Монолитный;-1;Без отделки;75,6 м²;55 м²;+74951375467;Якиманка;;;Полянка;Лаврушинский ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/305881561/;Москва;sale;flat;3;9;4;142.5;108900000;-1;-1;-1;-1;-1;-1;10 м²;+79855162121;Таганский;Серебрянический переулок;8;Китай-город;Титул на Серебрянической
КОРТРОС;developer;https://www.cian.ru/sale/flat/307731133/;Москва;sale;flat;27;49;4;109.76;55428800;2027;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;53 м²;-1;+74951387167;Марьина роща; Веткина;2С8;Марьина Роща;TATE 
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/304369940/;Москва;sale;flat;3;9;4;143.0;108900000;2021;-1;-1;-1;-1;90 м²;15 м²;+79660587093;Таганский;Серебрянический переулок;8;Китай-город;Титул на Серебрянической
TOUCH;developer;https://www.cian.ru/sale/flat/305084568/;Москва;sale;flat;7;13;4;129.88;72452704;2024;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951387101;Южнопортовый;;к2;Дубровка;Шампайн ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/262233648/;Москва;sale;flat;5;6;4;157.0;250000000;2018;-1;-1;-1;-1;-1;-1;+79646328563;Замоскворечье;Садовническая набережная;7;Новокузнецкая;BALCHUG VIEWPOINT
MR Group;developer;https://www.cian.ru/sale/flat/306614869/;Москва;sale;flat;34;46;4;95.0;39202963;2027;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, предчистовая;63,5 м²;-1;+74997058993;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306890254/;Москва;sale;flat;9;9;4;233.0;600000000;-1;-1;-1;-1;-1;-1;30 м²;+79639968605;Хамовники;Малая Пироговская ;8;Спортивная;Barrin House
Пионер;developer;https://www.cian.ru/sale/flat/301459912/;Москва;sale;flat;14;18;4;112.8;111829581;2028;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951370987;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/281590820/;Москва;sale;flat;3;14;4;200.0;430000000;-1;-1;-1;-1;-1;-1;-1;+79154194704;Хамовники; Усачева;11Г;Фрунзенская;Садовые кварталы
Главстрой;developer;https://www.cian.ru/sale/flat/307942399/;Москва;sale;flat;4;7;4;107.3;53102770;2027;-1;Монолитный;-1;Без отделки;69,5 м²;6,6 м²;+74951387141;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308342623/;Москва;sale;flat;3;29;4;144.6;57840000;-1;-1;-1;-1;-1;-1;49,7 м²;+79057198567;Якиманка;Мытная ;40к3;Шаболовская;Sky House
MR Group;developer;https://www.cian.ru/sale/flat/308088589/;Москва;sale;flat;5;7;4;257.83;747707000;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;60 м²;21,3 м²;+74951389336;Арбат;Крестовоздвиженский переулок;4;Арбатская;Luce - фамильный дом
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308060239/;Москва;sale;flat;3;8;4;92.0;60000000;-1;-1;-1;-1;-1;-1;20 м²;+79855162121;Басманный;Нижняя Красносельская ;35С50;Бауманская;TriBeCa APARTMENTS
Absolute Premium;developer;https://www.cian.ru/sale/flat/308961114/;Москва;sale;flat;12;17;4;155.9;172363000;2026;-1;Монолитный;-1;Без отделки, предчистовая;57,4 м²;-1;+74951387189;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308342982/;Москва;sale;flat;5;29;4;152.8;61120000;-1;-1;-1;-1;-1;-1;45,4 м²;+79057198567;Якиманка;Мытная ;40к3;Шаболовская;Sky House
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/291208107/;Москва;sale;flat;2;9;4;210.6;170000000;2005;-1;-1;-1;-1;-1;20 м²;+79623676737;Арбат;Поварская ;28С2;Арбатская;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/292444827/;Москва;sale;flat;7;8;4;200.0;110000000;2001;-1;-1;-1;-1;-1;15 м²;+79660548633;Тверской;Сущевская ;31;Менделеевская;
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/308099078/;Москва;sale;flat;21;21;4;106.0;69500000;2019;-1;-1;-1;-1;-1;10 м²;+79660480820;Лефортово;проезд Невельского;3к2;Авиамоторная;Символ
