author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307914842/;Москва;sale;flat;5;7;3;74.9;41500000;-1;-1;-1;-1;-1;-1;-1;+79169367330;Басманный; Земляной Вал;34С4;Курская;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/305593994/;Москва;sale;flat;6;6;3;65.0;47700000;-1;-1;-1;-1;-1;49 м²;10 м²;+79670580817;Басманный; Покровка;38С1;Курская;
Forma;developer;https://www.cian.ru/sale/flat/308937865/;Москва;sale;flat;9;29;3;82.3;34166680;2028;-1;Монолитный;-1;Без отделки, предчистовая;37,1 м²;-1;+74951378427;Печатники;;;Нагатинский Затон;Портлэнд ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305320579/;Москва;sale;flat;27;53;3;124.0;118000000;2011;-1;-1;-1;-1;86 м²;17,3 м²;+79856327486;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
MR Group;developer;https://www.cian.ru/sale/flat/305596686/;Москва;sale;flat;2;29;4;101.4;30960989;2025;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая;48,2 м²;29,4 м²;+74951387213;Южнопортовый;Волгоградский проспект;32/3к4;Дубровка;Метрополия
Группа Аквилон;developer;https://www.cian.ru/sale/flat/300036284/;Москва;sale;flat;23;28;3;67.75;27738644;2027;-1;Монолитно-кирпичный;-1;Предчистовая;41,7 м²;6,8 м²;+74951377153;Нижегородский;;;Нижегородская;Аквилон Бисайд 2.0 ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304424290/;Москва;sale;flat;3;9;4;287.0;350000000;2021;-1;-1;-1;-1;-1;16,2 м²;+79645658096;Хамовники;Саввинская набережная;13;Киевская;SAVVIN RIVER RESIDENCE
