author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303542659/;Москва;sale;flat;7;25;3;99.0;66900000;2021;-1;-1;-1;-1;36 м²;29,5 м²;+79660504300;Раменки; Янковского;1к1;Аминьевская;Событие
Ташир;developer;https://www.cian.ru/sale/flat/272333560/;Москва;sale;flat;11;21;3;74.5;;2020;-1;Монолитный;-1;Предчистовая, черновая, чистовая;46,9 м²;7,8 м²;+74951347269;Очаково-Матвеевское;Аминьевское шоссе;6;Давыдково;West Tower (Апартаменты бизнес-класса)
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/292658316/;Москва;sale;flat;2;21;3;126.0;160000000;2023;-1;-1;-1;-1;-1;-1;+79680709691;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301916112/;Москва;sale;flat;4;5;3;115.0;98000000;-1;-1;-1;-1;-1;82 м²;15 м²;+79104779022;Хамовники;Кропоткинский переулок;4С1;Парк Культуры;
Regions Development;developer;https://www.cian.ru/sale/flat/308071743/;Москва;sale;flat;2;16;3;62.45;27610643;2027;-1;Монолитно-кирпичный;-1;Без отделки;57,5 м²;-1;+74951370547;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/300294429/;Москва;sale;flat;6;21;3;112.5;150000000;2023;-1;-1;-1;-1;-1;-1;+79680709691;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
3SGroup;developer;https://www.cian.ru/sale/flat/304988890/;Москва;sale;flat;3;17;3;65.6;15138253;2026;-1;-1;-1;Без отделки;35,4 м²;15,7 м²;+74951374320;;;;Корниловская;FOREVILLE
