author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/307529280/;Москва;sale;flat;2;7;5;167.0;130000000;1908;-1;-1;-1;-1;35 м²;25 м²;+79163506367;Басманный;Чистопрудный бульвар;14С3;Чистые пруды;
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305870027/;Москва;sale;flat;46;54;5;163.9;130000000;2011;-1;-1;-1;-1;-1;-1;+79660216918;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/297533930/;Москва;sale;flat;22;38;5;217.0;130000000;2006;-1;-1;-1;-1;123 м²;20 м²;+79153843042;Раменки;Мосфильмовская ;70к1;Ломоносовский проспект;Воробьевы Горы
Дипломат;real_estate_agent;https://www.cian.ru/sale/flat/306101347/;Москва;sale;flat;4;5;5;190.0;130000000;-1;-1;-1;-1;-1;130 м²;25 м²;+79660627002;Басманный; Макаренко;2/21С2;Чистые пруды;
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/304444679/;Москва;sale;flat;4;5;5;190.0;130000000;1906;-1;-1;-1;-1;150 м²;25 м²;+79623644015;Басманный; Макаренко;2/21С2;Чистые пруды;
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/278927120/;Москва;sale;flat;15;43;5;215.9;149000000;2003;-1;-1;-1;-1;-1;-1;+79670362245;Фили-Давыдково;Давыдковская ;3;Славянский бульвар;Эдельвейс
