author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
AB Development;developer;https://www.cian.ru/sale/flat/285385916/;Москва;sale;flat;10;12;5;211.0;273949000;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;-1;-1;+74951387072;Раменки;Мосфильмовская ;1к9;Ломоносовский проспект;Вишневый сад
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305062342/;Москва;sale;flat;24;24;5;205.5;139000000;2009;-1;-1;-1;-1;-1;20 м²;+79684858420;Можайский;Можайское шоссе;22к1;Рабочий посёлок;
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/308639833/;Москва;sale;flat;4;5;5;398.4;577329188;2012;-1;-1;-1;-1;-1;-1;+79651951389;Хамовники; Остоженка;11;Кропоткинская;Остоженка 11
ANT Development;developer;https://www.cian.ru/sale/flat/303519385/;Москва;sale;flat;12;13;5;266.4;429573037;2024;-1;Монолитный;-1;Чистовая;-1;-1;+74951346248;Дорогомилово;;3к2;Парк Победы;Виктори Парк Резиденсез ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304354216/;Москва;sale;flat;5;5;5;314.5;220000000;-1;-1;-1;-1;-1;62 м²;24 м²;+79165939385;Басманный;переулок Гусятников;13/3;Чистые пруды;
А101;developer;https://www.cian.ru/sale/flat/306737804/;Москва;sale;flat;14;17;5;122.0;28907290;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;69,9 м²;26 м²;+74951379021;;;25.7;Бунинская аллея;Скандинавия ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305271469/;Москва;sale;flat;4;5;5;190.0;147000000;-1;-1;-1;-1;-1;131 м²;18 м²;+79660641282;Хамовники;переулок Плотников;3;Смоленская;
