author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
КОРТРОС;developer;https://www.cian.ru/sale/flat/306697779/;Москва;sale;flat;12;14;4;75.47;41583970;2024;-1;Монолитно-кирпичный;-1;Без отделки;39,2 м²;-1;+74997150399;Пресненский;Шмитовский проезд;39к9;Шелепиха;Headliner
Эталон;developer;https://www.cian.ru/sale/flat/306036458/;Москва;sale;flat;2;17;4;115.0;42010840;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;53,8 м²;23,5 м²;+74951387063;Даниловский;набережная Марка Шагала;15к1;Технопарк;Shagal
MR Group;developer;https://www.cian.ru/sale/flat/307961907/;Москва;sale;flat;3;20;4;111.4;42001549;2023;-1;Монолитно-кирпичный;-1;Предчистовая;54,4 м²;30,3 м²;+74951387212;Покровское-Стрешнево;Волоколамское шоссе;95/2к3;Трикотажная;City Bay
Донстрой;developer;https://www.cian.ru/sale/flat/308969351/;Москва;sale;flat;16;26;4;105.9;42201150;2025;-1;Монолитный;-1;Без отделки, чистовая, чистовая с мебелью;55,8 м²;18,3 м²;+74951387018;Лефортово;бульвар Сенкевича;;Римская;Символ
А101;developer;https://www.cian.ru/sale/flat/306741567/;Москва;sale;flat;2;16;4;104.3;42053329;2025;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;42,7 м²;23,8 м²;+74951379043;Сокол; Зорге;25С2;Октябрьское поле;Дом на Зорге
Tekta Group;developer;https://www.cian.ru/sale/flat/307958978/;Москва;sale;flat;6;34;4;88.6;43582340;2023;-1;Монолитный;-1;Без отделки, предчистовая;61,9 м²;-1;+74951387095;Обручевский;;3;Воронцовская;Эвер ЖК
