author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
А101;developer;https://www.cian.ru/sale/flat/306745602/;Москва;sale;flat;4;9;3;59.6;9547545;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;-1;-1;+74951375220;;;2;Толстопальцево;Родные кварталы ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/306547189/;Москва;sale;flat;2;19;3;99.0;53000000;2018;-1;-1;-1;-1;-1;7 м²;+79850141998;Хорошево-Мневники;Шелепихинская набережная;34к2зд2;Шелепиха;Сердце Столицы
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207517/;Москва;sale;flat;13;22;3;75.2;15283802;2024;-1;Панельный, монолитный;-1;Без отделки, чистовая;43,8 м²;-1;+74951475836;;;к4;Рассказовка;Город-парк Первый Московский
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307760315/;Москва;sale;flat;10;15;3;80.0;85000000;2023;-1;-1;-1;-1;50 м²;16 м²;+79858630545;Беговой; 1-я Ямского Поля;1к1;Белорусская;Slava
MR Group;developer;https://www.cian.ru/sale/flat/306068027/;Москва;sale;flat;3;57;4;80.57;50082312;2024;-1;Монолитно-кирпичный;-1;Предчистовая;-1;-1;+74951387228;Филевский парк;;;Фили;Фили Сити ЖК
Среда;developer;https://www.cian.ru/sale/flat/306563125/;Москва;sale;flat;8;12;3;85.61;30262706;2027;-1;Монолитный;-1;Без отделки, предчистовая;53,8 м²;-1;+74951387079;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/290979265/;Москва;sale;flat;6;8;4;207.0;450000000;2012;-1;-1;-1;-1;-1;-1;+79060434618;Арбат;Большой Афанасьевский переулок;28;Арбатская;Большой Афанасьевский пер, вл.24
