author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
INGRAD;developer;https://www.cian.ru/sale/flat/309065133/;Москва;sale;flat;11;33;4;100.7;32964901;2027;-1;Монолитный;-1;Без отделки, предчистовая;-1;-1;+74951375512;Войковский;;;Балтийская;Инджой ЖК
Центр-Инвест;developer;https://www.cian.ru/sale/flat/308398502/;Москва;sale;flat;3;35;4;92.4;33576108;2025;-1;-1;-1;Без отделки;59,2 м²;8,3 м²;+74951387027;Левобережный;Фестивальная ;15к6;Речной вокзал;Фестиваль парк-2
MR Group;developer;https://www.cian.ru/sale/flat/305596642/;Москва;sale;flat;22;29;4;102.6;33542874;2025;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая;49,3 м²;30,2 м²;+74951387213;Южнопортовый;Волгоградский проспект;32/3к4;Волгоградский проспект;Метрополия
MR Group;developer;https://www.cian.ru/sale/flat/307962343/;Москва;sale;flat;23;24;4;111.07;33536426;2027;-1;Монолитно-кирпичный;-1;Предчистовая;46,3 м²;-1;+74951387212;Покровское-Стрешнево;Волоколамское шоссе;95/1к5;Трикотажная;City Bay
Ташир;developer;https://www.cian.ru/sale/flat/304066812/;Москва;sale;flat;3;19;4;114.0;;2025;-1;Монолитный;-1;Без отделки, предчистовая, черновая;77,7 м²;-1;+74951387114;Можайский;;;Молодёжная;Стеллар Сити ЖК
Основа;developer;https://www.cian.ru/sale/flat/308561355/;Москва;sale;flat;11;20;4;97.13;33801240;2026;-1;Монолитный;-1;Без отделки, черновая;68,1 м²;24 м²;+74951379869;Преображенское;Потешная ;;Преображенская площадь;EvoPark Сокольники
Центр-Инвест;developer;https://www.cian.ru/sale/flat/298334792/;Москва;sale;flat;33;35;4;90.8;35587445;2023;-1;-1;-1;Без отделки;60 м²;8,3 м²;+74951387027;Левобережный;Фестивальная ;15к24/3;Речной вокзал;Фестиваль парк-2
